name,sf,N,num_trials,gamma_0,gamma_0_new,gamma_1,d,fpt,k,alive
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,183,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,186,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,178,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,168,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,192,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,184,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,237,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,221,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,194,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,206,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,186,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,181,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,169,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,167,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,199,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,207,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,167,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,179,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,182,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,138,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,131,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,196,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,163,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,175,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,197,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,160,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,156,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,189,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,203,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,167,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,193,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,187,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,204,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,159,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,213,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,159,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,226,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,176,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,170,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,190,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,194,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,168,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,166,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,151,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,212,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,235,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,222,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,182,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,227,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,187,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,177,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,156,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,195,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,181,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,212,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,155,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,194,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,199,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,149,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,223,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,166,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,173,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,224,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,200,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,164,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,179,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,210,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,188,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,197,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,150,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,203,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,167,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,173,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,197,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,158,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,167,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,162,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,183,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,208,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,212,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,215,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,205,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,203,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,173,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,194,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,194,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,184,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,159,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,214,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,174,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,210,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,195,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,143,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,202,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,184,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,192,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,196,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,189,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,169,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,210,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,180,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,194,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,165,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,194,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,201,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,176,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,186,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,194,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,173,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,174,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,177,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,196,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,190,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,201,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,174,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,219,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,191,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,176,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,206,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,209,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,199,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,186,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,195,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,156,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,197,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,147,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,166,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,189,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,215,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,161,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,200,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,156,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,199,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,151,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,165,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,155,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,170,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,183,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,196,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,170,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,135,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,187,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,219,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,193,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,144,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,156,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,180,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,191,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,181,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,165,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,167,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,200,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,195,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,177,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,172,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,190,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,157,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,217,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,187,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,210,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,207,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,184,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,159,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,132,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,170,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,139,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,197,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,156,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,210,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,179,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,185,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,182,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,189,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,163,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,204,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,202,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,203,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,188,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,188,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,195,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,155,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,202,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,183,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,220,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,178,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,200,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,152,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,175,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,188,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,192,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,218,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,183,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,212,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,190,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,204,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,205,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,171,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,193,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,186,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,181,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,193,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,213,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,177,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,207,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,196,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,192,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,180,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,177,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,178,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,164,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,189,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,198,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,197,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,198,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,178,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,198,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,174,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,183,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,186,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,185,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,172,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,165,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,204,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,183,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,161,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,174,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,220,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,163,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,177,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,192,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,175,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,193,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,190,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,178,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,196,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,156,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,241,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,190,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,190,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,204,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,197,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,163,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,238,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,174,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,223,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,211,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,190,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,186,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,203,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,206,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,179,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,177,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,211,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,209,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,194,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,205,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,193,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,215,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,161,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,179,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,165,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,204,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,187,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,177,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,199,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,175,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,194,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,195,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,201,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,157,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,177,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,163,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,213,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,193,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,211,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,205,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,193,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,164,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,170,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,195,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,180,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,204,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,198,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,197,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,180,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,172,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,193,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,165,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,187,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,212,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,152,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,157,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,179,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,219,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,186,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,204,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,163,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,213,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,206,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,168,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,165,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,201,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,151,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,179,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,208,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,148,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,184,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,191,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,192,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,200,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,184,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,198,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,155,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,172,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,202,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,194,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,190,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,205,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,220,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,147,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,177,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,187,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,176,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,201,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,194,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,172,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,165,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,179,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,204,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,184,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,203,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,195,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,153,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,189,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,162,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,156,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,182,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,207,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,185,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,171,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,216,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,197,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,198,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,147,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,183,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,186,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,183,5,0
sf_1000_500_5,sf,1000,500,0.003,0.03,0.0,0.0,137,5,0
